raman_shift,intensity
150,561.48
152,518.464
154,526.968
156,524.29
158,526.33
160,1945.65
162,561.409
164,516.746
166,562.604
168,484.929
170,530.365
172,575.017
174,596.087
176,600.42
178,658.888
180,795.315
182,871.5
184,708.245
186,623.029
188,560.445
190,563.566
192,574.432
194,664.565
196,724.694
198,793.089
200,989.931
202,1207.62
204,1067.55
206,905.882
208,731.794
210,591.456
212,508.516
214,471.158
216,547.021
218,630.776
220,710.149
222,753.711
224,881.554
226,1036.02
228,1092.16
230,945.276
232,725.982
234,665.991
236,584.049
238,556.796
240,474.669
242,480.437
244,478.274
246,450.948
248,553.907
250,485.782
252,520.399
254,502.552
256,556.156
258,541.943
260,509.297
262,404.697
264,476.246
266,495.016
268,502.238
270,445.766
272,524.388
274,417.005
276,436.027
278,489.767
280,456.786
282,524.316
284,464.314
286,441.883
288,457.407
290,444.62
292,443.847
294,525.139
296,543.439
298,568.173
300,490.802
302,569.813
304,501.782
306,573.412
308,521.138
310,533.949
312,598.724
314,664.301
316,700.508
318,794.671
320,915.567
322,1052.17
324,1134.97
326,1057.03
328,864.245
330,708.641
332,691.898
334,566.402
336,553.783
338,578.406
340,470.935
342,551.692
344,518.915
346,543.379
348,552.944
350,581.686
352,620.24
354,601.465
356,693.753
358,650.421
360,626.429
362,621.079
364,597.635
366,600.08
368,578.449
370,536.436
372,589.169
374,587.772
376,591.898
378,689.012
380,717.622
382,797.014
384,930.197
386,1166.73
388,1353.15
390,1468.82
392,1340.31
394,1209.24
396,1087.13
398,986.402
400,813.493
402,903.058
404,850.199
406,829.289
408,800.223
410,775.832
412,747.896
414,703.473
416,625.225
418,662.772
420,615.099
422,652.862
424,592.399
426,583.148
428,540.004
430,534.836
432,545.899
434,488.35
436,538.987
438,523.332
440,478.151
442,431.654
444,523.532
446,494.096
448,485.921
450,495.706
452,566.375
454,506.975
456,517.188
458,474.291
460,590.204
462,576.476
464,590.385
466,570.067
468,606.928
470,607.965
472,635.088
474,634.502
476,622.845
478,730.589
480,654.945
482,718.768
484,716.902
486,669.302
488,697.49
490,634.527
492,593.367
494,597.74
496,538.71
498,582.713
500,536.686
502,498.941
504,442.764
506,462.33
508,541.619
510,500.877
512,491.931
514,557.222
516,464.882
518,486.564
520,495.421
522,541.756
524,513.889
526,532.912
528,519.44
530,605.253
532,604.452
534,556.092
536,568.15
538,498.256
540,507.991
542,556.916
544,511.398
546,585.156
548,480.734
550,528.776
552,510.815
554,547.978
556,542.12
558,535.048
560,515.709
562,636.325
564,514.663
566,442.542
568,484.086
570,526.094
572,485.736
574,547.599
576,535.077
578,499.085
580,487.904
582,470.93
584,479.962
586,456.586
588,548.122
590,562.65
592,468.654
594,475.22
596,460.611
598,490.588
600,424.029
602,493.651
604,578.628
606,531.982
608,577.312
610,533.716
612,613.565
614,564.32
616,543.481
618,639.419
620,541.555
622,508.995
624,552.049
626,538.548
628,572.953
630,503.447
632,556.735
634,559.346
636,511.584
638,539.553
640,511.14
642,617.94
644,518.563
646,531.075
648,517.204
650,547.72
652,576.925
654,622.643
656,605.546
658,674.287
660,1555.75
662,843.446
664,1065.04
666,1039.78
668,911.295
670,787.808
672,709.095
674,672.057
676,1853.68
678,586.289
680,559.663
682,652.043
684,625.942
686,606.07
688,620.354
690,605.877
692,514.229
694,609.739
696,567.183
698,573.406
700,601.955
702,674.148
704,658.487
706,699.421
708,817.822
710,849.101
712,766.845
714,759.833
716,673.569
718,651.904
720,569.827
722,622.28
724,622.683
726,599.404
728,589.262
730,442.321
732,574.203
734,566.726
736,561.696
738,545.746
740,569.246
742,586.05
744,566.593
746,561.777
748,625.156
750,556.22
752,637.18
754,608.701
756,574.106
758,584.69
760,559.871
762,614.929
764,603.174
766,579.998
768,564.62
770,615.352
772,641.006
774,603.358
776,621.864
778,599.919
780,615.515
782,607.879
784,630.817
786,576.154
788,649.995
790,623.003
792,647.085
794,625.965
796,647.643
798,604.573
800,678.684
802,580.849
804,605.675
806,645.031
808,692.502
810,655.868
812,650.332
814,625.758
816,687.001
818,711.446
820,770.684
822,719.514
824,629.41
826,727.958
828,632.774
830,606.382
832,681.92
834,628.054
836,615.954
838,635.14
840,657.782
842,662.783
844,587.65
846,697.664
848,666.398
850,627.593
852,618.223
854,619.845
856,659.24
858,627.332
860,627.321
862,675.726
864,664.082
866,638.191
868,677.738
870,698.578
872,619.185
874,636.869
876,688.066
878,685.251
880,668.669
882,701.312
884,629.226
886,618.673
888,639.583
890,674.197
892,645.41
894,660.061
896,643.019
898,659.752
900,650.294
902,698.433
904,712.702
906,674.412
908,690.38
910,683.301
912,729.862
914,727.434
916,807.97
918,768.437
920,914.091
922,1040.49
924,1139.76
926,1188.38
928,995.702
930,978.109
932,770.482
934,795.065
936,698.538
938,764.228
940,701.287
942,716.9
944,711.321
946,747.531
948,696.785
950,609.718
952,688.423
954,718.92
956,697.564
958,741.874
960,757.261
962,716.543
964,676.937
966,776.731
968,770.961
970,731.133
972,819.77
974,750.128
976,737.229
978,796.241
980,871.385
982,862.585
984,1009.81
986,958.769
988,1027.51
990,979.731
992,915.226
994,927.954
996,832.57
998,938.239
1000,923.672
1002,965.103
1004,1103.31
1006,1278.23
1008,1577.25
1010,2072.6
1012,2407.15
1014,2277.76
1016,1763.81
1018,1369.8
1020,1136.67
1022,971.36
1024,907.599
1026,859.681
1028,847.28
1030,795.991
1032,772.036
1034,752.729
1036,737.868
1038,805.234
1040,768.142
1042,796.749
1044,734.767
1046,718.633
1048,745.775
1050,807.048
1052,790.232
1054,750.643
1056,701.669
1058,719.113
1060,706.045
1062,700.635
1064,624.347
1066,676.721
1068,697.843
1070,749.85
1072,703.473
1074,740.586
1076,677.88
1078,678.254
1080,558.917
1082,703.457
1084,705.398
1086,741.785
1088,664.124
1090,686.376
1092,653.836
1094,638.256
1096,652.942
1098,665.23
1100,719.38
1102,675.63
1104,648.586
1106,673.867
1108,674.964
1110,644.607
1112,703.455
1114,598.49
1116,658.494
1118,682.842
1120,612.106
1122,672.512
1124,702.04
1126,662.295
1128,590.079
1130,623.481
1132,682.354
1134,649.708
1136,636.482
1138,652.307
1140,654.25
1142,602.692
1144,614.65
1146,627.932
1148,598.601
1150,607.638
1152,658.053
1154,573.865
1156,663.668
1158,661.44
1160,541.764
1162,589.398
1164,602.712
1166,559.217
1168,561.429
1170,572.788
1172,599.788
1174,554.956
1176,632.552
1178,576.727
1180,556.248
1182,603.549
1184,573.413
1186,560.052
1188,532.882
1190,602.793
1192,563.821
1194,526.311
1196,475.604
1198,534.683
1200,476.467
1202,457.202
1204,501.351
1206,511.806
1208,537.639
1210,503.24
1212,517.837
1214,446.387
1216,481.641
1218,484.382
1220,504.559
1222,480.301
1224,494.783
1226,449.897
1228,474.22
1230,471.777
1232,412.479
1234,455.239
1236,435.002
1238,376.758
1240,471.019
1242,422.147
1244,399.319
1246,415.394
1248,425.06
1250,470.155
1252,411.852
1254,429.734
1256,449.865
1258,421.33
1260,437.675
1262,380.953
1264,420.835
1266,388.978
1268,424.731
1270,348.236
1272,351.84
1274,417.106
1276,365.376
1278,358.578
1280,370.516
1282,338.838
1284,397.327
1286,310.78
1288,343.046
1290,358.596
1292,336.699
1294,312.767
1296,304.854
1298,343.222
1300,292.71
1302,344.016
1304,273.037
1306,300.928
1308,315.816
1310,273.412
1312,333.01
1314,307.072
1316,268.793
1318,249.842
1320,246.435
1322,295.947
1324,251.845
1326,247.115
1328,278.137
1330,363.573
1332,290.483
1334,305.556
1336,281.658
1338,294.392
1340,223.453
1342,251.919
1344,270.434
1346,261.727
1348,250.2
1350,238.151
1352,246.55
1354,229.088
1356,168.605
1358,208.814
1360,262.359
1362,291.979
1364,300.975
1366,233.536
1368,256.796
1370,256.983
1372,199.532
1374,164.467
1376,219.027
1378,156.052
1380,199.111
1382,227.917
1384,152.412
1386,196.573
1388,236.534
1390,211.68
1392,204.738
1394,216.33
1396,239.761
1398,185.449
1400,220.609
